The player blob visited these random coordinates: 

{"x":-1.9439449310302735,"y":7.373767375946045,"z":-2.6308212280273439}

{"x":0.6431760787963867,"y":-4.752508163452148,"z":7.44368314743042}

{"x":4.412137985229492,"y":8.392160415649414,"z":9.807319641113282}

{"x":3.2539725303649904,"y":9.30215835571289,"z":9.029800415039063}

{"x":-4.180508613586426,"y":5.522103309631348,"z":-0.8909091949462891}

{"x":-0.1139364242553711,"y":-3.8184680938720705,"z":-8.077680587768555}

{"x":-8.597183227539063,"y":0.9681520462036133,"z":1.6304645538330079}

{"x":2.966134548187256,"y":-8.708379745483399,"z":8.037028312683106}

{"x":3.815617322921753,"y":7.533952713012695,"z":-3.301724433898926}

{"x":-4.722603797912598,"y":5.0311994552612309,"z":-7.849348068237305}

{"x":2.6431987285614015,"y":-6.122756481170654,"z":7.650320053100586}

{"x":-0.04220104217529297,"y":-8.564252853393555,"z":-0.760859489440918}

{"x":-9.710105895996094,"y":-1.6008176803588868,"z":5.899157524108887}

{"x":-1.317978858947754,"y":-3.026765823364258,"z":-4.9849853515625}

{"x":-3.8584556579589845,"y":-7.639441967010498,"z":-3.195117950439453}

{"x":-6.695621490478516,"y":1.851426124572754,"z":1.6841115951538087}

{"x":7.561995983123779,"y":-5.506889343261719,"z":-1.5520896911621094}

{"x":-1.6788110733032227,"y":-1.6440353393554688,"z":1.5984020233154297}

{"x":6.231470108032227,"y":-4.853176116943359,"z":5.340325832366943}

{"x":2.4354305267333986,"y":6.502995014190674,"z":0.10312461853027344}

